key,value,source
n_records,12571,passer90.rda
n_species,73,passer90.rda
n_wing_records,8478,passer90.rda
year_centre_scaling,2009.48654612756,"attr(passer90, 'scaling')$year"
year_sd_scaling,5.01992511153777,"attr(passer90, 'scaling')$year"
locality_wing.n_units,139,audit_sites.rds
locality_wing.n_shared,6,audit_sites.rds
locality_wing.n_records,5129,audit_sites.rds
locality_wing.records_shared,684,audit_sites.rds
locality_wing.n_units_early,73,audit_sites.rds
locality_wing.n_units_late,72,audit_sites.rds
locality_wing.n_na_records,111,audit_sites.rds
municipality_wing.n_units,99,audit_sites.rds
municipality_wing.n_shared,15,audit_sites.rds
municipality_wing.n_records,5240,audit_sites.rds
municipality_wing.records_shared,1728,audit_sites.rds
municipality_wing.n_units_early,50,audit_sites.rds
municipality_wing.n_units_late,64,audit_sites.rds
municipality_wing.n_na_records,0,audit_sites.rds
coordinate_site_wing.n_units,233,audit_sites.rds
coordinate_site_wing.n_shared,4,audit_sites.rds
coordinate_site_wing.n_records,5240,audit_sites.rds
coordinate_site_wing.records_shared,543,audit_sites.rds
coordinate_site_wing.n_units_early,93,audit_sites.rds
coordinate_site_wing.n_units_late,144,audit_sites.rds
coordinate_site_wing.n_na_records,0,audit_sites.rds
species_municipality_wing.n_units,821,audit_sites.rds
species_municipality_wing.n_shared,61,audit_sites.rds
species_municipality_wing.n_records,5240,audit_sites.rds
species_municipality_wing.records_shared,933,audit_sites.rds
species_municipality_wing.n_units_early,406,audit_sites.rds
species_municipality_wing.n_units_late,476,audit_sites.rds
species_municipality_wing.n_na_records,0,audit_sites.rds
n_wing_quartile,5240,audit_sites.rds
n_wing_contributors,42,audit_sources.rds
n_span_both_wing,6,audit_sources.rds
wing_records_from_spanners,2828,audit_sources.rds
prop_right_early,0.873839662447257,audit_sources.rds
prop_generic_late,0.674564459930314,audit_sources.rds
spanning_contributors,E.Carrano;A.Ross;M.Alves;C.Fontana;A.Piratelli;L.Bugoni,audit_sources.rds
mean_wing_mm,71.1292911063929,effect_scale.rds
sd_year_scaling,5.01992511153782,effect_scale.rds
published_wing_est,-0.92,effect_scale.rds (brm0_multiphylo Rubin pooled)
published_wing_lo,-1.4,effect_scale.rds
published_wing_hi,-0.44,effect_scale.rds
controlled_mode,fast-lme4,controlled_wing_results.rds
controlled_generated,2026-09-09 12:35:53,controlled_wing_results.rds
controlled_sd_year,5.01992511153777,controlled_wing_results.rds
controlled_mean_wing_mm,71.129291106393,controlled_wing_results.rds
controlled_session,"R=R version 4.6.0 (2026-04-24); lme4=2.0.1; dplyr=1.2.1; optimizer=bobyqa, calc.derivs = FALSE, REML",controlled_wing_results.rds
decision_gate_scenario,B,controlled_wing_results.rds
slopes.M3.n_species,72,controlled_wing_species_slopes.rds
slopes.M3.n_negative,49,controlled_wing_species_slopes.rds
slopes.M3.n_excl_zero_negative,9,controlled_wing_species_slopes.rds
slopes.M3.n_excl_zero_positive,2,controlled_wing_species_slopes.rds
slopes.M3.median_mm_per_decade,-0.563127163898366,controlled_wing_species_slopes.rds
slopes.M3.fixed_slope,-0.370410503361508,controlled_wing_species_slopes.rds
slopes.M3.sd_random_slope,1.16484844487374,controlled_wing_species_slopes.rds
slopes.M3_cc.n_species,72,controlled_wing_species_slopes.rds
slopes.M3_cc.n_negative,49,controlled_wing_species_slopes.rds
slopes.M3_cc.n_excl_zero_negative,9,controlled_wing_species_slopes.rds
slopes.M3_cc.n_excl_zero_positive,2,controlled_wing_species_slopes.rds
slopes.M3_cc.median_mm_per_decade,-0.458358491406003,controlled_wing_species_slopes.rds
slopes.M3_cc.fixed_slope,-0.284122388786366,controlled_wing_species_slopes.rds
slopes.M3_cc.sd_random_slope,0.857900972396939,controlled_wing_species_slopes.rds
slopes.M0.n_species,72,controlled_wing_species_slopes.rds
slopes.M0.n_negative,56,controlled_wing_species_slopes.rds
slopes.M0.n_excl_zero_negative,17,controlled_wing_species_slopes.rds
slopes.M0.n_excl_zero_positive,2,controlled_wing_species_slopes.rds
slopes.M0.median_mm_per_decade,-1.18228762811238,controlled_wing_species_slopes.rds
slopes.M0.fixed_slope,-0.921682626207744,controlled_wing_species_slopes.rds
slopes.M0.sd_random_slope,1.7264717892502,controlled_wing_species_slopes.rds
